,fc_id,turn_full_last_month,turn_part_last_month,turn_sum_last_month,boxes_per_hr,bph_actual_minus_fcast,cargo_loss,damages_per_sales,fcast_cargo_loss,fcast_damages_per_sales,fcast_labor_per_sales,fcast_ot_hrs_pct_tot_prod_hrs,fcast_prod_avg_wage,fcast_receiving_cartons,fcast_vol_boxes_wkly,ft_headcount_wkly,labor_per_box,labor_per_sales,leave_behinds,missing_wrong,ot_hrs,ot_hrs_pct_tot_prod_hrs,prod_avg_wage,pt_headcount_wkly,pt_ot_hrs,pt_tot_hrs,receiving_cartons,temp_headcount_wkly,temp_hrs,temp_ot_hrs,tot_damages,tot_headcount_wkly,tot_prod_hrs,tot_sales,vol_boxes_wkly,turn_full_sq,turn_part_sq
ot_hrs,0.04001018667861863,-0.03006888767461493,-0.008093717714437544,-0.025225860627636713,-0.2822235860584777,-0.2979656605108633,-0.027032352961306533,0.0035170612560602266,0.5332970163351872,0.2694015732532491,-0.1160252928809547,0.5071718720047844,0.1821024604647629,0.405794815233657,0.3850378557368192,0.4386583637656699,-0.020722565436160776,-0.03713222113228167,0.5566674971533331,-0.008998081022370224,1.0,0.6277691958027463,0.14116596321508285,0.2740752372256206,0.580163953417755,0.3366065924692408,0.424396640788073,0.39611373905448133,0.3961937331588724,0.5817308052627154,0.044999741509014625,0.455854189820742,0.5675535808867149,0.4196085465450083,0.4196959723852696,-0.029681401464511967,-0.017139128842482518
ot_hrs_pct_tot_prod_hrs,0.012548840767685846,0.07304377485563142,0.04761339622045706,0.07105989363064225,-0.35016220136439874,-0.27866284111847867,-0.015510641524804991,0.2855878572330904,0.4594693791749532,0.15853114843232402,0.008905847175195002,0.36747272940428266,0.13161315610728241,-0.017728994652370152,-0.0024558698638677025,-0.019336167996228747,0.08472188591465665,-0.009984487189205003,0.35166352381917854,0.08421154502730653,0.6277691958027463,1.0,0.5668513776191391,-0.09588209450201028,0.4664295808266187,-0.037373513236617056,-0.014430799205781985,0.11817284083301591,0.11823109505737905,0.32476540584733177,0.006913786372341023,-0.011371303405844094,0.07792474595138243,-0.025071040049570177,-0.022568476533467573,0.08004989992043392,0.01256330532972326
prod_avg_wage,-0.07796774020088007,0.1439776544886964,0.043162953405999994,0.12233045759035775,-0.22136993130453617,-0.05743777875319852,0.0007356430553976473,0.39109956066100937,0.13227937348143606,0.05215660939407278,0.09652089655405054,0.10382256646902023,0.29860223667089303,0.051714459302618636,0.09361194391293047,0.05216029040322297,0.14944234987630373,0.027045499659457066,0.09608985773804268,0.022739206211086216,0.14116596321508285,0.5668513776191391,1.0,0.06773016229388933,0.17718689078518815,0.06792211870054403,0.02768374591562112,-0.019708675862015378,-0.01971791830081561,0.10386923847792268,0.007573665826367973,0.04860497735310034,0.0489058203444509,0.043359646775508506,0.02848224586916915,0.17428093717452214,0.0572618666854231
pt_headcount_wkly,-0.1132932597074111,-0.07421186712175065,-0.05607282624134358,-0.07488992082038648,0.23256460224507092,-0.05430997736951477,-0.038070595445028554,-0.00925500214065116,0.3314327110354993,0.026218108895083043,-0.33325837932296765,0.06808473507319722,0.24683708295434872,0.8279150709197983,0.8435244544332822,0.8319435658746115,-0.051407814335015185,-0.06287886237350633,-0.006797648189182819,-0.03903561521533476,0.2740752372256206,-0.09588209450201028,0.06773016229388933,1.0,0.18879077134059005,0.9851856056030558,0.8508614617716964,0.2529501391772467,0.25313662719873037,0.02398831864116667,0.06582574728108784,0.8691004468214755,0.8323073635788126,0.8670607943486557,0.8668340621339242,-0.06704723352214144,-0.05991482073664429
pt_ot_hrs,0.09473300801880224,-0.027552345290059115,-0.0025396401334022347,-0.021408208656815884,-0.12863316453210286,-0.14916154172014207,-0.012877345294600547,0.023204270437111187,0.2785783430039514,0.2353182619424922,-0.0555095643217934,0.3692166436452443,0.11561712601821737,0.16877931851469702,0.1423212970762203,0.11774535067111724,0.003621781094553643,-0.01582156383907505,0.36057660915213496,0.005333989867941581,0.580163953417755,0.4664295808266187,0.17718689078518815,0.18879077134059005,1.0,0.27824464683718647,0.16192406201203025,0.155443188554888,0.1556075991758102,0.2523715219854723,0.004485415751810268,0.1564301789315768,0.22027485356846338,0.15352307015694155,0.14986560470740548,-0.020778103849674656,-0.007929096861121669
pt_tot_hrs,-0.09402137843648806,-0.07089848501779333,-0.0459600059258174,-0.06888364552208498,0.20638489530199525,-0.07070238561400934,-0.03827175341420325,-0.012784438668359679,0.3400135216411272,0.035380160972946814,-0.3306087192155473,0.10872584440225058,0.2374761529096999,0.830689188035689,0.8400018059951438,0.8165466563870809,-0.05022911153237757,-0.06184745213084073,0.017666842556826032,-0.038950016693385145,0.3366065924692408,-0.037373513236617056,0.06792211870054403,0.9851856056030558,0.27824464683718647,1.0,0.8494227329797269,0.2756525627499371,0.27583706260744273,0.046243801653145046,0.061252177162166827,0.8591536537367571,0.8402069929028328,0.8617978809763353,0.8633497649840154,-0.06447229039085507,-0.050095845465386
receiving_cartons,-0.05884171915476361,-0.023705023092110887,-0.03352746224330374,-0.029386070597690186,0.20687247236935136,-0.09081565911796041,-0.04824592181250617,0.002215390504380675,0.41827702099299613,0.040062114736526565,-0.35362606411657405,0.14057000666176114,0.2490125179250073,0.9592601785847019,0.9450137668052782,0.9413608198880602,-0.06375445923251054,-0.07607676491711696,0.05771473503680384,-0.04852841293924512,0.424396640788073,-0.014430799205781985,0.02768374591562112,0.8508614617716964,0.16192406201203025,0.8494227329797269,1.0,0.45985495891326267,0.45982334668124697,0.14990628218637356,0.09437870050231632,0.9577566687242713,0.9513822613137247,0.9710044043278606,0.9778863636196241,-0.01943605072976991,-0.038843449420258754
temp_headcount_wkly,-0.08780251225058491,0.002883467858007192,-0.0015345415066358233,0.0016104949750115124,-0.04276711912587633,-0.09965184654267505,-0.022887456318669917,0.04446024334320376,0.13135855171727862,0.028799478658798592,-0.12559829685541687,0.16219604304279428,0.06760768821180316,0.4603566864420814,0.4677707660006849,0.36749867445523904,-0.024170840723415955,-0.03292724966100707,0.25525008286597034,-0.011068352332312051,0.39611373905448133,0.11817284083301591,-0.019708675862015378,0.2529501391772467,0.155443188554888,0.2756525627499371,0.45985495891326267,1.0,0.9999854829771266,0.5724432807894289,0.09957195434014254,0.51748549772335,0.5153887462744916,0.49521196981056426,0.48035176053640954,0.055612924281505625,0.011135284637628775
temp_hrs,-0.08798204874081464,0.002867858617382135,-0.0015080450011398189,0.0016081415895048202,-0.04273892134849617,-0.09971479025742519,-0.02287742476620322,0.044476582492799524,0.13130144208024194,0.028793741081490815,-0.12575700355825528,0.16221783765642273,0.0675634716570307,0.4603275397502022,0.46775149399408933,0.36746863902419163,-0.02415834021552707,-0.03292236628106103,0.25528694983796607,-0.01092873504028958,0.3961937331588724,0.11823109505737905,-0.01971791830081561,0.25313662719873037,0.1556075991758102,0.27583706260744273,0.45982334668124697,0.9999854829771266,1.0,0.572474850555219,0.09955697788886989,0.517500332747205,0.5153859689153505,0.4952651960165173,0.4803527923862121,0.0556414275526792,0.011165272638515774
temp_ot_hrs,-0.049449157442458376,-0.007076681185102534,-0.02067575858944175,-0.012505128895633693,-0.20418920889638467,-0.22637540528114533,-0.009589212555139988,0.029636843078390283,0.19789579736499976,0.09770407969547847,-0.07726744425007401,0.24552718188038566,0.07584435618331545,0.16073113060740135,0.17059717117011705,0.15163267036069977,-0.0021728207897420207,-0.011781601831123012,0.6728340096171787,2.481257433363894e-05,0.5817308052627154,0.32476540584733177,0.10386923847792268,0.02398831864116667,0.2523715219854723,0.046243801653145046,0.14990628218637356,0.5724432807894289,0.572474850555219,1.0,0.05394040721956039,0.22769906308343693,0.2705745595000281,0.18645319813484307,0.164681706542718,0.023296740426114217,-0.013053107801063816
tot_damages,-0.013027179509309025,0.046526196789457026,-0.004395349314860328,0.03311227535770024,0.04590098274560875,-0.0136503123511113,-0.002161064722254573,0.7503421585222237,0.019599881784165506,0.0023870197505713345,-0.04720962377519267,0.00416132684718972,0.009083942916557038,0.06576170215617237,0.07103092371478394,0.061323699445344264,-0.003354369297087424,-0.0036710499402759344,0.00035830964355851953,-0.002637482471689395,0.044999741509014625,0.006913786372341023,0.007573665826367973,0.06582574728108784,0.004485415751810268,0.061252177162166827,0.09437870050231632,0.09957195434014254,0.09955697788886989,0.05394040721956039,1.0,0.07820971154609914,0.07743057803749367,0.10359344409416854,0.0959553941808939,0.030578835672963288,-0.005992236931268548
tot_headcount_wkly,-0.09352580871939942,-0.08234354709271481,-0.08017263852180795,-0.08937889014576578,0.08981328887734483,-0.11591644557266657,-0.04846923947207086,-0.002729215610023505,0.444083816924492,0.05127856917252188,-0.3124402442364591,0.19614077147752787,0.2665674354517439,0.9481251162657298,0.9559504966152075,0.9784894412023474,-0.05861344404243349,-0.07460481184858418,0.11535265254717866,-0.03623701076243131,0.455854189820742,-0.011371303405844094,0.04860497735310034,0.8691004468214755,0.1564301789315768,0.8591536537367571,0.9577566687242713,0.51748549772335,0.517500332747205,0.22769906308343693,0.07820971154609914,1.0,0.9867872099576488,0.9701481636734673,0.9724676458330497,-0.057391881452501244,-0.06870449714273746
