,fc_id,year_month,turn_full_last_month,turn_part_last_month,turn_sum_last_month,boxes_per_hr,bph_actual_minus_fcast,cargo_loss,damages_per_sales,fcast_cargo_loss,fcast_damages_per_sales,fcast_labor_per_sales,fcast_ot_hrs_pct_tot_prod_hrs,fcast_prod_avg_wage,fcast_receiving_cartons,fcast_vol_boxes_wkly,ft_headcount_wkly,labor_per_box,labor_per_sales,leave_behinds,missing_wrong,ot_hrs,ot_hrs_pct_tot_prod_hrs,prod_avg_wage,pt_headcount_wkly,pt_ot_hrs,pt_tot_hrs,receiving_cartons,temp_headcount_wkly,temp_hrs,temp_ot_hrs,tot_damages,tot_headcount_wkly,tot_prod_hrs,tot_sales,vol_boxes_wkly
62,7045,2017-03,3.0,1.0,4.0,23.032975,-0.995775,0.0009500000000000001,0.003075,0.0012,0.0027,0.0149,0.0196,17.5875,65228.02915,69262.5962,69.25,0.7727999999999999,0.015875,0.0,0.0018,20.44,0.00695,17.790100000000002,22.5,0.0,481.1775,57658.0,0.0,0.0,0.0,10107.763,91.75,2915.165,3271408.180625,67186.5
63,7050,2017-03,3.0,2.0,5.0,16.181874999999998,-0.697175,0.000725,0.0031000000000000003,0.0016,0.002925,0.0235,0.02,16.0645,56380.922,60705.84802499999,96.5,0.993125,0.0227,2.5e-05,0.0038250000000000003,30.5875,0.0082,15.981124999999999,8.25,0.0,146.2975,57227.0,12.0,295.71750000000003,4.9025,8118.0005,116.75,3716.14,2630928.26855,60137.5
64,7072,2017-03,2.0,2.0,4.0,19.604875,3.5243,0.00185,0.00265,0.0012,0.002175,0.0237,0.02,17.6662,61280.6434,68591.032075,70.0,0.877875,0.018375,0.0,0.0032500000000000003,215.17749999999998,0.057175000000000004,16.802125,20.0,0.0,497.69500000000005,64170.25,6.0,149.755,0.0,8144.66525,96.0,3337.8149999999996,3079011.150875,64487.5
65,7077,2017-03,0.0,2.0,2.0,18.375925,-1.15675,0.0014749999999999997,0.00275,0.0017,0.002375,0.0192,0.02,18.2854,152013.49055000002,164755.5834,193.5,0.985525,0.01945,0.000575,0.003675,137.095,0.01655,18.061325000000004,55.0,0.0,1238.7075,141644.25,0.5,11.1225,0.0,20176.0265,249.0,8018.0599999999995,7463147.2308249995,147336.75
66,7133,2017-03,0.0,0.0,0.0,17.113625,-1.729625,0.001225,0.000875,0.0011,0.0025,0.0181,0.02,16.8311,155318.14,189472.02267500001,230.0,0.968375,0.019950000000000002,5e-05,0.00355,433.46999999999997,0.037875,16.5526,70.5,2.13,1782.7475,175104.75,36.75,915.875,30.625,8226.84275,337.25,11297.83,9387334.544400001,193404.75
67,7144,2017-03,15.0,4.0,19.0,22.217399999999998,-1.839075,0.0,0.0005,0.0,0.00030000000000000003,0.0244,0.0145,17.7617,15778.647725,14547.975575,17.0,0.7759,0.023975,0.00165,0.0013,27.674999999999997,0.036725,17.175225,3.25,0.0,68.7325,19415.0,0.0,0.0,0.0,260.203,20.25,724.675,518651.90245,16053.0
68,7163,2017-03,0.0,0.0,0.0,17.136275,-1.569225,0.0012000000000000001,0.003025,0.0009,0.003175,0.0187,0.02,17.2486,38954.556675,37947.77985,55.75,1.024125,0.019174999999999998,0.0,0.00235,22.3725,0.009625,17.532525,21.25,0.0,400.2225,42744.75,0.0,0.0,0.0,6199.833500000001,77.0,2250.69,2053471.40005,38556.0
69,7199,2017-03,0.0,0.0,0.0,15.7227,1.748625,0.00025,0.0022500000000000003,0.0008,0.002125,0.02,0.02,18.6433,31804.282324999996,30589.418625000002,42.5,1.20095,0.01805,0.0,0.00245,8.67,0.005575,18.85175,9.0,0.0,153.6625,23849.26,0.0,0.0,0.0,3476.687,51.5,1498.2150000000001,1571631.25,23594.0
70,7210,2017-03,0.0,0.0,0.0,15.506049999999998,0.94025,0.00165,0.0013,0.0017,0.001225,0.0237,0.034,17.5184,78737.601375,79259.89295000001,126.0,1.16365,0.023,0.000275,0.0049,506.115,0.0853,17.968925,16.5,0.0,405.11,85459.0,8.75,220.13,0.0,5820.737,151.25,5797.6375,4557561.8985,89995.0
71,7212,2017-03,0.0,0.0,0.0,20.5411,-0.10395000000000001,0.0018499999999999999,0.003425,0.0016,0.003575,0.0185,0.05,17.2404,78354.588275,92422.848075,83.25,0.829575,0.018125000000000002,0.00065,0.0040999999999999995,211.805,0.047675,16.9726,47.0,6.7425,1091.7475,77446.5,5.75,138.125,4.3125,14005.04075,136.0,4323.0325,4065417.4551,88775.5
72,7214,2017-03,0.0,1.0,1.0,24.5275,-6.7755,0.0012749999999999999,0.0049499999999999995,0.0009,0.001475,0.0118,0.02,14.2637,27123.512425,32950.004225000004,28.75,0.580975,0.012624999999999999,0.0,0.0019500000000000001,47.26,0.0407,14.186250000000001,2.75,0.0,76.9775,24618.25,0.0,0.0,0.0,6457.96725,31.5,1159.62,1307751.620275,28446.25
